,League Name,Match Round,Match Date,Match Time,Home Team Name,Away Team Name,Home Team Odds,Away Team Odds,Home Team Asian Handicap Odds,Away Team Asian Handicap Odds,Home Team Line,Away Team Line
0,England Premier League,Asian Spread & Goal Line,Sat Apr 01,7:30 AM,Man City,Liverpool,1.57,5.25,"-1.0
2.020","+1.0
1.880","O 2.5, 3.0
1.840","U 2.5, 3.0
2.060"
1,England Premier League,Asian Spread & Goal Line,Sat Apr 01,10:00 AM,Arsenal,Leeds,1.30,9.00,"-1.5
1.900","+1.5
2.000","O 3.0
1.970","U 3.0
1.930"
2,England Premier League,Asian Spread & Goal Line,Sat Apr 01,10:00 AM,Bournemouth,Fulham,2.50,2.75,"0.0
1.830","0.0
2.070","O 2.5
2.050","U 2.5
1.850"
3,England Premier League,Asian Spread & Goal Line,Sat Apr 01,10:00 AM,Brighton,Brentford,1.66,5.25,"-0.5, -1.0
1.880","+0.5, +1.0
2.020","O 2.5, 3.0
1.980","U 2.5, 3.0
1.920"
4,England Premier League,Asian Spread & Goal Line,Sat Apr 01,10:00 AM,Crystal Palace,Leicester,2.55,2.75,"0.0
1.850","0.0
2.050","O 2.0, 2.5
1.940","U 2.0, 2.5
1.960"
5,England Premier League,Asian Spread & Goal Line,Sat Apr 01,10:00 AM,Nottm Forest,Wolverhampton,2.87,2.45,"0.0
2.090","0.0
1.810","O 2.0
1.830","U 2.0
2.070"
6,England Premier League,Asian Spread & Goal Line,Sat Apr 01,12:30 PM,Chelsea,Aston Villa,1.60,5.50,"-0.5, -1.0
1.840","+0.5, +1.0
2.060","O 2.5
1.950","U 2.5
1.950"
7,England Premier League,Asian Spread & Goal Line,Sun Apr 02,9:00 AM,West Ham,Southampton,1.72,5.00,"-0.5, -1.0
2.020","+0.5, +1.0
1.880","O 2.5
2.060","U 2.5
1.840"
8,England Premier League,Asian Spread & Goal Line,Sun Apr 02,11:30 AM,Newcastle,Man Utd,2.45,2.80,"0.0
1.810","0.0
2.090","O 2.5
1.900","U 2.5
2.000"
9,England Premier League,Asian Spread & Goal Line,Mon Apr 03,3:00 PM,Everton,Tottenham,3.25,2.15,"0.0, +0.5
2.020","0.0, -0.5
1.880","O 2.0, 2.5
1.890","U 2.0, 2.5
2.010"
